source,target,relation,confidence,evidence_url,note
PERSON_001,ROLE_004,has_role,0.75,,primary
PERSON_001,ROLE_007,has_role,0.75,,primary
PERSON_001,ROLE_002,has_role,0.75,,
PERSON_001,ROLE_001,has_role,0.75,,research extension
PERSON_001,ROLE_003,has_role,0.75,,since 2024
PERSON_001,ORG_005,works_for,0.90,,Senior Animator · 2024–present
PERSON_001,ORG_002,worked_for,0.75,,Lead Animator · 2024
PERSON_001,ORG_004,worked_for,0.75,,Lead Animator & Technical Animator
PERSON_001,ORG_001,member_of,0.75,,ACM Professional Member
PERSON_001,ORG_003,registered_with,0.75,,IRIS Korea · AI-Hub access
PERSON_001,SEM_011,based_in,0.75,,
PERSON_001,PROD_008,credited_in,0.90,,Monarch: Legacy of Monsters
PERSON_001,PROD_013,credited_in,0.90,,Wednesday S2
PERSON_001,PROD_012,credited_in,0.90,,The Witcher S4
PERSON_001,PROD_011,credited_in,0.90,,The Old Guard 2
PERSON_001,PROD_010,credited_in,0.90,,Sweet Home S3
PERSON_001,PROD_001,credited_in,0.90,,Alice in Borderland
PERSON_001,PROD_003,credited_in,0.90,,Creation of the Gods II
PERSON_001,PROD_014,credited_in,0.90,,When Life Gives You Tangerines
PERSON_001,PROD_009,credited_in,0.90,,Seeking the King
PERSON_001,PROD_007,credited_in,0.90,,Land of Tanabata
PERSON_001,PROD_006,credited_in,0.90,,Island
PERSON_001,PROD_002,credited_in,0.90,,Carter
PERSON_001,PROD_005,credited_in,0.90,,Hansan: Rising Dragon
PERSON_001,RES_008,authored,0.90,,M7 Framework
PERSON_001,RES_003,authored,0.90,,Empathic Intelligence paper
PERSON_001,RES_006,authored,0.90,,Living Semantic Identity Graph
PERSON_001,AUTH_006,identity_link,0.90,,verified filmography
PERSON_001,AUTH_019,identity_link,0.90,,
PERSON_001,AUTH_010,identity_link,0.90,,
PERSON_001,AUTH_008,identity_link,0.90,,professional network
PERSON_001,AUTH_015,identity_link,0.90,,research ORCID
PERSON_001,AUTH_023,published_on,0.90,,open-science publications
PERSON_001,AUTH_004,indexed_on,0.75,,Google Scholar profile
PERSON_001,AUTH_018,indexed_on,0.75,,ResearchGate profile
PERSON_001,AUTH_016,published_on,0.90,,PhilArchive
PERSON_001,AUTH_014,indexed_on,0.75,,OpenAIRE
PERSON_001,AUTH_005,published_on,0.90,,HuggingFace dataset
PERSON_001,AUTH_021,identity_link,0.90,,Wikibase entity
PERSON_001,AUTH_022,portfolio_on,0.75,,YouTube channel
PERSON_001,AUTH_020,portfolio_on,0.75,,Vimeo reel
PERSON_001,AUTH_025,identity_link,0.90,,
